A,B,C,D,E,F,G,H,I,J,K
30, -57014.64453125, -3283.0908203125, -2424.985107421875, 606.4474487304688, -18757.291015625, -3442.749267578125, -772.0738525390625, -55287.83984375, , 1714826858123.326
31, -57031.609375, -2711.445068359375, -1955.7998046875, 687.0478515625, -18777.609375, -4193.49951171875, -851.06494140625, -55300.37890625, , 1714826858126.99
0, -57012.96875, -2808.205810546875, -2042.0328369140625, 701.5988159179688, -18759.97265625, -3393.73193359375, -648.8263549804688, -55262.625, , 1714826858131.329
1, -56991.7109375, -3342.032470703125, -2518.661376953125, 650.7039184570312, -18739.38671875, -2492.107421875, -526.8529052734375, -55249.8828125, , 1714826858135.008
2, -57006.93359375, -3311.58935546875, -2525.433837890625, 630.1849975585938, -18755.4140625, -3128.193359375, -703.34228515625, -55291.32421875, , 1714826858138.717
3, -57028.1875, -2714.127197265625, -2021.7821044921875, 690.1323852539062, -18776.267578125, -4167.68359375, -842.8841552734375, -55309.5625, , 1714826858142.809
4, -57014.77734375, -2605.4306640625, -1930.3187255859375, 746.1234741210938, -18756.486328125, -3734.439697265625, -691.4735107421875, -55267.85546875, , 1714826858146.975
5, -56997.546875, -3146.767578125, -2405.5390625, 698.7825317382812, -18734.357421875, -2646.602783203125, -531.8820190429688, -55247.73828125, , 1714826858150.663
6, -57001.16796875, -3335.326904296875, -2594.8359375, 654.1907958984375, -18741.734375, -2877.80908203125, -646.6806030273438, -55279.72265625, , 1714826858154.378
7, -57019.80859375, -2827.04833984375, -2166.822509765625, 697.7766723632812, -18764.3984375, -4047.9228515625, -843.6888427734375, -55308.42578125, , 1714826858158.447
8, -57012.296875, -2529.121826171875, -1899.7415771484375, 764.161376953125, -18754.138671875, -4055.90234375, -764.3624877929688, -55286.83203125, , 1714826858162.538
9, -56984.1328125, -2958.07421875, -2254.799072265625, 738.0768432617188, -18731.408203125, -2914.48828125, -550.0540161132812, -55249.34765625, , 1714826858166.107
10, -56975.08203125, -3350.95068359375, -2586.78955078125, 621.1995849609375, -18730.603515625, -2680.73388671875, -581.6370239257812, -55266.1796875, , 1714826858170.169
